11.1397 23.7000  7.9312  0.0001  8.6092  0.0000  9.0552
11.1397 23.7100  7.9347  0.0001  9.0949  0.0000  9.5392
11.1397 23.7200  7.9384  0.0001  9.5489  0.0000  9.9917
11.1397 23.7300  7.9424  0.0002  9.9682  0.0000 10.4093
11.1397 23.7400  7.9470  0.0002 10.3516  0.0000 10.7908
11.1397 23.7500  7.9522  0.0002 10.6994  0.0000 11.3033
11.1397 23.7600  7.9579  0.0001 11.0162  0.0001 11.6178
11.1397 23.7700  7.9641  0.0001 11.3067  0.0001 11.9061
11.1397 23.7800  7.9707  0.0001 11.5751  0.0000 12.1721
11.1397 23.7900  7.9774  0.0001 11.8260  0.0000 12.4206
11.1397 23.8000  7.9844  0.0001 -11.9365  0.0000 12.6558
11.1397 23.8100  7.9913  0.0001 -11.7096  0.0000 12.8803
11.1397 23.8200  7.9981  0.0001 -11.4909  0.0000 13.0968
11.1397 23.8300  8.0048  0.0001 -11.2784  0.0000 13.3071
11.1397 23.8400  8.0113  0.0001 -11.0702  0.0000 13.5133
11.1397 23.8500  8.0175  0.0001 -10.8657  0.0000 13.7158
11.1397 23.8600  8.0233  0.0001 -10.6630  0.0000 13.9168
11.1397 23.8700  8.0288  0.0002 -10.4609  0.0000 14.1174
11.1397 23.8800  8.0339  0.0002 -10.2589  0.0000 14.3179
11.1397 23.8900  8.0385  0.0002 -10.0558  0.0000 14.5198
11.1397 23.9000  8.0427  0.0002 -9.8502  0.0000 14.7244
11.1397 23.9100  8.0464  0.0002 -9.6412  0.0000 14.9325
11.1397 23.9200  8.0496  0.0002 -9.4271  0.0001 15.1458
11.1397 23.9300  8.0523  0.0002 -9.2068  0.0001 15.3657
11.1397 23.9400  8.0544  0.0002 -8.9781  0.0001 15.5941
11.1397 23.9500  8.0560  0.0002 -8.7385  0.0000 15.8337
11.1397 23.9600  8.0570  0.0002 -8.4850  0.0000 16.0873
11.1397 23.9700  8.0573  0.0002 -8.2129  0.0000 16.3599
11.1397 23.9800  8.0567  0.0002 -7.9154  0.0000 16.6582
11.1397 23.9900  8.0553  0.0001 -7.5820  0.0000 16.9927
11.1397 24.0000  8.0526  0.0001 -7.1913  0.0000 17.3850
11.1397 24.0100  8.0476  0.0001 -6.6922  0.0000 17.8868
11.1397 24.0200  8.0343  0.0001 -5.7479  0.0004 18.8375
11.1397 24.0300  8.0257  0.0013 -5.0980  0.0618 19.6055
11.1397 24.0400  8.0040  0.0058 -3.9840  0.2208 21.1183
11.1397 24.0500  8.0223  0.0049 -4.5808  0.2115 20.4201
11.1397 24.0600  8.0945  0.0077 -8.3213  0.5346 17.0992
11.1397 24.0700  8.0672  0.0061 -6.4640  0.3240 18.6743
11.1397 24.0800  8.1038  0.0129 11.9826  1.5856 14.9387
11.1397 24.0900  8.0931  0.0098 -7.4733  0.5562 18.0184
11.1397 24.1000  8.0952  0.0043  7.8152  2.1621 12.2731
11.1397 24.1100  8.1231  0.0083 -10.4874  1.3624 16.1269
11.1397 24.1200  8.0127  0.0486 -1.7585  1.2850  1.6340
11.1397 24.1300  8.0103  0.0205 -0.8584  1.6295  3.2976
11.1397 24.1400  8.1326  0.0109 -9.0794  1.1706 17.3074
11.1397 24.1500  8.1312  0.0136 11.5117  2.0910 15.2225
11.1397 24.1600  8.1111  0.0166 -6.9254  0.8955 19.1744
11.1397 24.1700  8.1311  0.0105  9.3795  2.6129 13.9966
11.1397 24.1800  8.1434  0.0137 11.4025  2.2877 15.3998
11.1397 24.1900  8.0762  0.0239 -4.6450  0.9920 21.9954
11.1397 24.2000  8.1283  0.0211 -7.0101  1.1451 19.5122
11.1397 24.2100  8.0737  0.0286 -4.2101  1.1654 21.9325
11.1397 24.2200  8.1623  0.0128 -11.5498  2.2745 16.3980
11.1397 24.2300  8.1629  0.0138 10.9077  2.6860 15.4919
11.1397 24.2400  8.1353  0.0260 -6.5396  1.3428 20.3892
11.1397 24.2500  8.1696  0.0140 10.3882  2.9101 15.3164
11.1397 24.2600  8.1766  0.0136 11.4071  2.7560 16.0603
11.1397 24.2700  8.1160  0.0331 -5.0752  1.4340 21.9914
11.1397 24.2800  8.1827  0.0175 -9.3163  2.0691 18.4484
11.1397 24.2900  8.1699  0.0296 -7.4384  1.7557 20.0757
11.1397 24.3000  8.1396  0.0942  1.4882  3.1904  8.0894
11.1397 24.3100  8.1014  0.0337 -3.3150  1.9554  1.4667
11.1397 24.3200  8.1108  0.0422  0.1250  2.9800  6.6446
11.1397 24.3300  8.2012  0.0187 -9.6202  2.4531 18.6975
11.1397 24.3400  8.2067  0.0150 10.3576  3.4674 16.0222
11.1397 24.3500  8.2063  0.0223 -9.1783  2.4740 19.2278
11.1397 24.3600  8.1500  0.0573  1.4213  3.5157  8.5887
11.1397 24.3700  8.1259  0.0316 -2.0053  2.6756  4.2565
11.1397 24.3800  8.1632  0.0516  3.2084  3.7007 10.9300
11.1397 24.3900  8.1983  0.0414 -6.8709  2.2003 21.8373
11.1397 24.4000  8.2231  0.0259 -9.0719  2.7715 19.8080
11.1397 24.4100  8.1735  0.0501 -5.2079  2.3026  0.0000
11.1397 24.4200  8.2331  0.0199  8.9141  3.7887 15.6906
11.1397 24.4300  8.2029  0.0443  5.2848  4.0996 13.1552
11.1397 24.4400  8.2478  0.0143 11.6445  3.8274 17.7109
11.1397 24.4500  8.1680  0.0401 -1.0835  3.4340  6.5939
11.1397 24.4600  8.1762  0.0444 -3.7346  2.8316  2.8112
11.1397 24.4700  8.1868  0.0501  1.1742  4.1226  9.5583
11.1397 24.4800  8.2503  0.0323 -8.7373  3.0484 21.1725
11.1397 24.4900  8.2655  0.0176 -11.4634  3.9475 18.7788
11.1397 24.5000  8.2455  0.0458 -7.5247  2.9770 21.8566
11.1397 24.5100  8.2244  0.0529  4.3678  4.5429 13.2846
11.1397 24.5200  8.2065  0.0481  0.3979  4.2664  9.1956
11.1397 24.5300  8.2390  0.0517  5.0826  4.6930 14.0158
11.1397 24.5400  8.2482  0.0572 -6.6748  3.1656  0.0000
11.1397 24.5500  8.2821  0.0279 -10.0889  4.0286 20.4224
11.1397 24.5600  8.2628  0.0534 -7.2857  3.3529  0.0000
11.1397 24.5700  8.2402  0.0548  3.2597  4.8200 12.9083
11.1397 24.5800  8.2310  0.0449 -1.7736  4.1132  7.1377
11.1397 24.5900  8.2408  0.0505  1.0836  4.8945 10.6817
11.1397 24.6000  8.3043  0.0253 -10.8907  4.5957 20.1932
11.1397 24.6100  8.2843  0.0515  6.4866  5.1913 15.6946
11.1397 24.6200  8.3092  0.0338  8.8438  5.0317 17.2292
11.1397 24.6300  8.2765  0.0625 -6.2060  3.7887  1.3012
11.1397 24.6400  8.3258  0.0191 11.9421  4.5700 19.6531
11.1397 24.6500  8.3232  0.0268 -11.0634  5.0325 20.4737
11.1397 24.6600  8.2755  0.0560 -3.9319  4.2108  5.0730
11.1397 24.6700  8.3315  0.0279 -10.8363  4.8058 21.2592
11.1397 24.6800  8.3324  0.0310 -10.7238  4.5339 21.1484
11.1397 24.6900  8.2924  0.0594 -4.5337  4.3486  4.5825
11.1397 24.7000  8.3482  0.0214 11.6744  5.0397 19.9514
11.7574 23.5000  7.8269  0.0128  3.8342  0.8891  2.6408
11.7574 23.5100  7.8326  0.0437 -5.9656  2.6252 13.7873
11.7574 23.5200  7.8087  0.0451 -4.1346  2.4811 15.3879
11.7574 23.5300  7.8559  0.0042  5.4737  0.7176  4.6898
11.7574 23.5400  7.8437  0.0095  3.7853  0.6528  3.1323
11.7574 23.5500  7.8694  0.0005  7.6205  0.7747  6.7748
11.7574 23.5600  7.8571  0.0065  4.1445  0.5200  3.7704
11.7574 23.5700  7.8758  0.0017  6.1299  0.5258  5.6906
11.7574 23.5800  7.8227  0.0145  1.7491  0.6543  0.9619
11.7574 23.5900  7.8575  0.0063  3.3847  0.3676  3.1262
11.7574 23.6000  7.9060  0.0099 -10.8352  1.4172 11.4503
11.7574 23.6100  7.8011  0.0094 -0.4937  1.0863 21.2378
11.7574 23.6200  7.8971  0.0007  9.1229  0.5335  8.6844
11.7574 23.6300  7.8758  0.0025  3.3783  0.1476  3.6076
11.7574 23.6400  7.8830  0.0400  4.5038  0.0485  4.8754
11.7574 23.6500  7.9030  0.0004  4.9527  0.0005  5.4143
11.7574 23.6600  7.9131  0.0002  6.0484  0.0000  6.5037
11.7574 23.6700  7.9188  0.0002  6.7560  0.0000  7.2082
11.7574 23.6800  7.9234  0.0002  7.3744  0.0000  7.8242
11.7574 23.6900  7.9273  0.0001  7.9466  0.0000  8.3944
11.7574 23.7000  7.9308  0.0001  8.4862  0.0000  8.9323
11.7574 23.7100  7.9343  0.0001  8.9956  0.0000  9.4400
11.7574 23.7200  7.9380  0.0001  9.4714  0.0000  9.9142
11.7574 23.7300  7.9420  0.0002  9.9105  0.0000 10.3517
11.7574 23.7400  7.9465  0.0002 10.3103  0.0001 10.7497
11.7574 23.7500  7.9517  0.0002 10.6718  0.0001 11.1092
